企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社せせらぎ,http://www.seseragicare.com,https://employment.en-japan.com/desc_1039748/?PK=2CEB84&arearoute=1,■せせらぎ本社／大阪府堺市西区鳳西町1-68-21,採用担当,072-267-7850,
株式会社リーディングロール,https://ld-role.com/,https://employment.en-japan.com/desc_1042055/?PK=2CEB84&arearoute=1,レコードブック洗足池／〒145-0063/東京都大田区南千束3-33-3　古屋ビル101,採用担当,03-6425-9117,
株式会社いろり,,https://employment.en-japan.com/desc_1042088/?PK=2CEB84&arearoute=1,【ココステージ藤代教室】/〒300-1511　茨城県取手市椚木352-15,採用担当,0297-85-3450　※営業時間外は090-7557-3150(採用担当宛)までお問い合わせください。,
オークウッド・プロパティー・マネジメント・サービス東京有限会社,https://oakwood.jp/,https://employment.en-japan.com/desc_1042538/?PK=2CEB84&arearoute=1,〒106-0032/東京都港区六本木3-1-1/オークウッドレジデンス六本木ティーキューブ,採用担当,03-6229-3131,
株式会社カーブスジャパン,https://www.curves.co.jp/,https://employment.en-japan.com/desc_1043127/?PK=2CEB84&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　カーブスジャパン採用事務局,sss-info@en-japan.com,
エムケイ株式会社,https://kyotomk-recruit.jp,https://employment.en-japan.com/desc_1020661/?PK=2CEB84&arearoute=1,【伏見営業所】/〒612-8412/京都市伏見区竹田中川原町53-1,木嶋,075-643-3346,
三井不動産ファシリティーズ株式会社,http://www.mitsui-fc.co.jp/,https://employment.en-japan.com/desc_1037339/?PK=2CEB84&arearoute=1,〒104-0054/東京都中央区勝どき3丁目13-1　FOREFRONT TOWER2　7階,採用担当,03-5547-7824,
プラウドライフ株式会社,https://hanakotoba.co.jp/corporate/,https://employment.en-japan.com/desc_1040331/?PK=2CEB84&arearoute=1,【本社】/〒220-0004　神奈川県横浜市西区北幸2-8-4　横浜西口KNビル8F,採用担当,045-548-3228,
株式会社モデル・ランゲージ・スタジオ,http://mls-co.com/,https://employment.en-japan.com/desc_1043056/?PK=2CEB84&arearoute=1,〒151-0053 東京都渋谷区代々木2-31-8,採用担当者,03-3320-3607,job201309@mls-etd.co.jp
株式会社ベストライフ,http://bestlife.jp/,https://employment.en-japan.com/desc_1030771/?PK=2CEB84&arearoute=1,【本社】/〒163-0229/東京都新宿区西新宿2-6-1　新宿住友ビルディング29階,採用担当　熊谷,0120-515-472,
株式会社アップ,http://www.up-edu.com/,https://employment.en-japan.com/desc_1036562/?PK=2CEB84&arearoute=1,〒663-8204 西宮市高松町4-8 プレラにしのみや1F,採用担当,0798-66-1900,
新教育総合研究会株式会社,http://www.shinkyoiku.com,https://employment.en-japan.com/desc_1039516/?PK=2CEB84&arearoute=1,＜本社＞/〒530-0044/大阪市北区東天満1-10-12　エル・エスト不動産 天満ビル201号,櫻井,06-6352-3910　(受付時間／平日11時～19時),
エクササイズコーチジャパングループ,https://exercisecoach.co.jp/,https://employment.en-japan.com/desc_1039818/?PK=2CEB84&arearoute=1,※今回のエクササイズコーチジャパングループの合同募集の応募受付は、エクササイズコーチジャパン株式会社が行ないます。//【本社】/〒542-0081/大阪府大阪市中央区南船場4-12-22,採用担当　藤本,06-6251-5556,
特定非営利活動法人結の会,http://npoyui.com/,https://employment.en-japan.com/desc_1041098/?PK=2CEB84&arearoute=1,〒193-0826/東京都八王子市元八王子町2-1211,採用担当,042-667-0039,
株式会社マーキュリー,http://mercury-group.co.jp/,https://employment.en-japan.com/desc_1041318/?PK=2CEB84&arearoute=1,【東京本社】/〒163-0523/東京都新宿区西新宿1-26-2　新宿野村ビル23F,採用担当,03-6388-0023,
株式会社早稲田学習研究会,https://www.wasedazemi.com,https://employment.en-japan.com/desc_1042117/?PK=2CEB84&arearoute=1,【統括本部】/〒373-0853　群馬県太田市浜町10-53,採用担当,0276-66-9342,
合同会社まんぼう,http://hp.kaipoke.biz/un4/,https://employment.en-japan.com/desc_1032231/?PK=2CEB84&arearoute=1,【本社】滋賀県栗東市目川877-1,採用担当者,077-509-9200／代表：080-3826-1860(お電話での応募・問い合わせは代表番号へお願いいたします。),
医療法人社団海星会,http://kaiseikai.biz/,https://employment.en-japan.com/desc_1033775/?PK=2CEB84&arearoute=1,【海星会本部】/〒264-0026　千葉県千葉市若葉区西都賀3-3-13ちば国際ビル1F,採用係,043-305-4662,
学校法人駿河台学園,https://www.sundai.ac.jp/saiyou/recruit/index.htm,https://employment.en-japan.com/desc_1036299/?PK=2CEB84&arearoute=1,【学校法人駿河台学園　総務人事部】/〒101-0062/東京都千代田区神田駿河台2-9-8 駿台5号館3階,人事課契約職員採用担当,03-5259-3101(直通),
社会福祉法人長岡福祉協会 首都圏事業部,http://www.nagaokafukusi.com/,https://employment.en-japan.com/desc_1037902/?PK=2CEB84&arearoute=1,〒105-0004/東京都港区新橋6-19-2,採用担当,03-3433-0180,
株式会社スイート・ピア,https://www.sweetpea-net.com,https://employment.en-japan.com/desc_1038383/?PK=2CEB84&arearoute=1,本社／東京都渋谷区南平台町3-8 渋谷TSKビル3階,採用担当,03-5728-3156,
株式会社VIパートナーズ,https://www.vi-partners.jp/,https://employment.en-japan.com/desc_1039775/?PK=2CEB84&arearoute=1,■笑がお 西保木間/〒121-0812/東京都足立区西保木間2-6-4,採用担当,03-5851-0168,takeda@vi-partners.jp
学校法人川越白ゆり幼稚園,http://www.shirayuri-yo.ed.jp/,https://employment.en-japan.com/desc_1039926/?PK=2CEB84&arearoute=1,【学校法人 川越白ゆり幼稚園】/〒350-0816/埼玉県川越市上戸189-9,中村,049-232-1121,
学校法人三幸学園 チャイルドケア事業本部,https://www.sanko.ac.jp/,https://employment.en-japan.com/desc_1040163/?PK=2CEB84&arearoute=1,〒113-0034/東京都文京区湯島2-31-8-5F,採用担当,03-5840-8616,
株式会社ビックノーブル,https://bignoble.co.jp/about.html,https://employment.en-japan.com/desc_1040465/?PK=2CEB84&arearoute=1,■本社／〒336-0025 /埼玉県さいたま市南区文蔵2-22-2,採用担当,048-862-7001,
株式会社マジオネット熱海,http://www.atami-ds.co.jp/,https://employment.en-japan.com/desc_1040733/?PK=2CEB84&arearoute=1,■本社（マジオドライバーズスクール熱海校）/〒413-0002/静岡県熱海市伊豆山1173,採用担当,0557-80-3101,
株式会社くらしの友,https://www.kurashinotomo.jp,https://employment.en-japan.com/desc_1040750/?PK=2CEB84&arearoute=1,エリア統括本部／東京都大田区西蒲田8-10-15,採用担当,03-3735-5262(9：00～17：00),
株式会社クローバー,https://www.kitanjuku.com/,https://employment.en-japan.com/desc_1040802/?PK=2CEB84&arearoute=1,■本部・日野坂校/〒500-8211/岐阜市日野東7-2-1,採用担当,058-241-0599,
株式会社クオリティライフ・コンシェルジュ,http://www.ql-c.co.jp/,https://employment.en-japan.com/desc_1040985/?PK=2CEB84&arearoute=1,〒530-0044/大阪府大阪市北区東天満 2-9-1 若杉センタービル本館10階,採用担当,06-6882-0303※営業電話はお控えください。,
社会福祉法人大久保学園,http://www.ohkubogakuen.or.jp/,https://employment.en-japan.com/desc_1041093/?PK=2CEB84&arearoute=1,〒274-0054　千葉県船橋市金堀町499-1,採用担当,047-457-2462,
株式会社メイツ,https://mates-edu.co.jp/,https://employment.en-japan.com/desc_1041287/?PK=2CEB84&arearoute=1,＜本社＞/〒169-0075/東京都新宿区高田馬場2-14-2　新陽ビル602,採用担当,03-6233-8169,
株式会社ウィルサポート,https://will-support.co.jp,https://employment.en-japan.com/desc_1041567/?PK=2CEB84&arearoute=1,【横峰校】/〒816-0973/福岡県大野城市横峰2-10-10,吉田,092-589-7276,
株式会社マジオネット マジオドライバーズスクール藤枝校,http://www.magionet.co.jp,https://employment.en-japan.com/desc_1041851/?PK=2CEB84&arearoute=1,■マジオドライバーズスクール藤枝校/〒426-0076 /静岡県藤枝市内瀬戸115-2,採用担当　長房,054-641-1717,
株式会社リエゾンドライビングスクール,http://www.liaisonweb.com,https://employment.en-japan.com/desc_1042050/?PK=2CEB84&arearoute=1,本社／〒658-0031/兵庫県神戸市東灘区向洋町東4-2,採用担当者,078-857-0055,
株式会社エイチ・エム・グループ,https://www.k-wam.jp/,https://employment.en-japan.com/desc_1042091/?PK=2CEB84&arearoute=1,■本社/〒108-0073/東京都港区三田3-7-18 ザ・イトヤマタワー10F,採用担当,03-5443-2200,
社会福祉法人育桜福祉会,http://www.ikuoufukushi.takatsu.kawasaki.jp/,https://employment.en-japan.com/desc_1042245/?PK=2CEB84&arearoute=1,〒211-0024/川崎市中原区西加瀬10番3号,採用担当者,044-422-8877,
株式会社東急ステーションリテールサービス,http://www.e-toks.co.jp/,https://employment.en-japan.com/desc_1042260/?PK=2CEB84&arearoute=1,【本社】〒152-8909/東京都目黒区碑文谷6-7-22,03-5768-7833,,
オーセントホテルズ株式会社,https://www.authent.co.jp/,https://employment.en-japan.com/desc_1042321/?PK=2CEB84&arearoute=1,【本社】/北海道小樽市稲穂2-15-1,採用担当　管理部（前田）,0134-27-8080,
株式会社エルセーヌ・ファクトリー,https://www.elleseine.co.jp/,https://employment.en-japan.com/desc_1042569/?PK=E82C8D&arearoute=1,応募受付は、グループ会社である【株式会社エル】にて行ないます。//〒113-0034/東京都文京区湯島2-31-1 湯島三友ビル3F,採用担当,0120-975-013,
株式会社モシーモ,http://mochoc.tokyo,https://employment.en-japan.com/desc_1024330/?PK=E82C8D&arearoute=1,〒150-0001/東京都渋谷区神宮前1-20-9 柴崎ビル3F,採用担当・東（あずま）,03-5860-8170(保育園)／※繋がらない場合は、03-6447-1201(本社),
株式会社ベネッセスタイルケア,https://www.benesse-style-care.co.jp/,https://employment.en-japan.com/desc_1025921/?PK=E82C8D&arearoute=1,＜本社＞/〒163-0905 /東京都新宿区西新宿2-3-1 新宿モノリスビル5F,ベネッセスタイルケア 採用窓口,0120-22-1165 ※10:00～18:30(平日・土日祝),
株式会社キンダーキッズ,https://www.kinderkids.com,https://employment.en-japan.com/desc_1037652/?PK=E82C8D&arearoute=1,関西統括本部／〒530-0033　大阪市北区池田町3-1　ぷらら天満ビル2F,採用担当,06-6135-0150,
株式会社キンダーキッズ,https://www.kinderkids.com,https://employment.en-japan.com/desc_1038615/?PK=E82C8D&arearoute=1,関西統括本部／〒530-0033　大阪市北区池田町3-1　ぷらら天満ビル2F,採用担当,06-6135-0150,
株式会社GLOBAL BEAUTY,https://g-beauty.jp/,https://employment.en-japan.com/desc_1039032/?PK=E82C8D&arearoute=1,【東池袋エアライズタワー店】/〒170-0013/東京都豊島区東池袋4-5-1 B1F,採用担当,03-5985-8755,
医療法人社団幸星会 日本橋白内障クリニック,http://www.nihonbashi-hakunaisho.com,https://employment.en-japan.com/desc_1039442/?PK=E82C8D&arearoute=1,〒103-0022/東京都中央区日本橋室町2丁目4－1/浮世小路千疋屋ビル(YUITO ANNEX)3階,採用担当,0120-916-207,
有限会社サカコーポレーション,https://www.saka-group.jp/,https://employment.en-japan.com/desc_1039773/?PK=E82C8D&arearoute=1,緑井ガーデンハウス／広島市安佐南区緑井6丁目28-1,採用担当,082-831-2020,
有限会社なでしこ,http://www.745165.co.jp/,https://employment.en-japan.com/desc_1039954/?PK=E82C8D&arearoute=1,【本社】/〒546-0013/大阪市東住吉区湯里1-14-5,採用担当,06-6705-0200,
一般社団法人発達支援センターここ,http://tokicoco.co.jp/,https://employment.en-japan.com/desc_1040252/?PK=E82C8D&arearoute=1,【本社】/〒559-0034/大阪府大阪市住之江区南港北2-1-10　ATCビル3F,武田,06-4703-2525,
株式会社リンクスケア,https://rainbow-megumi.jp,https://employment.en-japan.com/desc_1040271/?PK=E82C8D&arearoute=1,【本社】/〒761-8076/香川県高松市多肥上町1411-1,採用担当,087-814-5115,
阪南倉庫株式会社,https://capsohn.co.jp/,https://employment.en-japan.com/desc_1040532/?PK=E82C8D&arearoute=1,【本社】/〒590-0959/大阪府堺市堺区大町西3-2-3,採用担当,072-232-0267,
株式会社やる気スイッチグループ,https://www.yarukiswitch.jp,https://employment.en-japan.com/desc_1040707/?PK=E82C8D&arearoute=1,【本社】/〒104-0032/東京都中央区八丁堀2-24-2 八丁堀第一生命ビル9階,忍者ナイン採用担当,03-6845-4145,
社会福祉法人香久山会,https://www.kaguyamakai.com/purehome/,https://employment.en-japan.com/desc_1040739/?PK=E82C8D&arearoute=1,〒581-0872 大阪府八尾市郡川2-33-1,採用担当,072-941-5755,
株式会社理究,http://www.riq.co.jp,https://employment.en-japan.com/desc_1040755/?PK=E82C8D&arearoute=1,＜本社＞/〒221-0056　神奈川県横浜市神奈川区金港町5-32 ベイフロント横浜3F,保育事業部育成課　遠藤,0120-337-149,
NHN Fukuoka株式会社,http://www.nhn-fukuoka.com/,https://employment.en-japan.com/desc_1041094/?PK=E82C8D&arearoute=1,＜本社＞/〒812-0013/福岡県福岡市博多区博多駅東2-13-34 エコービル3階,採用担当,fk.recruit@nhn-fukuoka.com,
株式会社なの花西日本,https://www.nanohana-ph.jp/company/kyouei.php,https://employment.en-japan.com/desc_1041259/?PK=E82C8D&arearoute=1,【本社】/〒560-0082/大阪府豊中市新千里東町1-5-3　千里朝日阪急ビル7F,採用担当,06-6836-6150,
株式会社キュービックルーツ,http://www.cubic2.biz/,https://employment.en-japan.com/desc_1041307/?PK=E82C8D&arearoute=1,■個別指導キュービック  西小山校/東京都目黒区原町1-10-14 雨宮ビル202,採用担当,03-5725-8645,
医療法人社団プラタナス,http://www.plata-net.com/,https://employment.en-japan.com/desc_1041511/?PK=E82C8D&arearoute=1,〒158-0097 /東京都世田谷区用賀2-32-18-501,採用担当・橋本,03-3709-2981,
トラストガーデン株式会社（リゾートトラスト株式会社100％出資）,https://www.trustgarden.jp,https://employment.en-japan.com/desc_1041527/?PK=E82C8D&arearoute=1,【本社】/〒151-0053/東京都渋谷区代々木4-36-19　リゾートトラスト東京ビル6F,人事部,03-5354-6081,
株式会社1983,http://1983.co.jp/,https://employment.en-japan.com/desc_1041552/?PK=E82C8D&arearoute=1,一家団蘭-あさひ-/〒535-0003/大阪府大阪市旭区中宮4丁目13番13号,採用担当,06-6955-7080,
学校法人宍倉学園認定こども園みつわ台幼稚園,https://mitsuwadai.jp/,https://employment.en-japan.com/desc_1041623/?PK=E82C8D&arearoute=1,〒264-0032/千葉県千葉市若葉区みつわ台4-23-5,採用担当,043-251-3331,
合同会社890 カラダファクトリー菊名店,https://karada39.com/salon/detail.html?id=711,https://employment.en-japan.com/desc_1041689/?PK=E82C8D&arearoute=1,〒222-0011/神奈川県横浜市港北区菊名4-2-8 3階,採用担当,045-432-5560,
インベントクリエイション株式会社,https://inventcreation.jp/,https://employment.en-japan.com/desc_1042004/?PK=E82C8D&arearoute=1,〒511-0863/三重県桑名市新西方1丁目45番1,採用担当,0594-27-1357,
株式会社日本ビジネスデータープロセシングセンター,https://ssl.nihon-data.jp/,https://employment.en-japan.com/desc_1042249/?PK=E82C8D&arearoute=1,■名古屋支店/愛知県名古屋市中村区名駅3-25-9,採用担当,052-756-3315,
特定非営利活動法人アシストワン,,https://employment.en-japan.com/desc_1037915/?PK=E82C8D&arearoute=1,〒238-0024/神奈川県横須賀市大矢部1-10-4-101,加藤・岸,046-876-9557,
株式会社薬王堂,http://www.yakuodo.co.jp/index.html,https://employment.en-japan.com/desc_1041876/?PK=E82C8D&arearoute=1,〒028-3621/岩手県紫波郡矢巾町大字広宮沢第3地割426番地,人事部採用課,019-697-2615,
アンダンテ株式会社,http://www.andante-inc.com,https://employment.en-japan.com/desc_1041931/?PK=E82C8D&arearoute=1,■本社／〒222-0033　横浜市港北区新横浜2丁目6番地13　新横浜ステーションビル7階,採用担当,045-594-8945(代表電話｜平日／9：00～18：00),
株式会社アミティー,http://www.amity.co.jp/recruit/,https://employment.en-japan.com/desc_1042026/?PK=E82C8D&arearoute=1,東京オフィス／東京都世田谷区上北沢3-18-7　幸作ビル1F,キャリア採用係,03-5374-1200,
株式会社進学ゼミナール,http://www.shinzemi.co.jp,https://employment.en-japan.com/desc_1042410/?PK=E82C8D&arearoute=1,【本社】/〒631-0036/奈良県奈良市学園北1-11-10　森田ビル2F,採用担当,0742-51-3422,
医療法人社団明芳会板橋中央総合病院（IMSグループ）,http://www.ims.gr.jp/itabashi.hp/,https://employment.en-japan.com/desc_1024667/?PK=E82C8D&arearoute=1,【板橋中央総合病院】/〒174-0051/東京都板橋区小豆沢2-12-7,採用担当,03-3967-1258(総務課直通),
株式会社千手,http://www.senju.co/,https://employment.en-japan.com/desc_1037298/?PK=E82C8D&arearoute=1,〒222-0033　神奈川県横浜市港北区新横浜2-2-15　パレアナビル807,採用担当,045-595-9900,
株式会社ヒューマンコンサルティング,,https://employment.en-japan.com/desc_1039299/?PK=E82C8D&arearoute=1,【横浜店】/〒221-0835/神奈川県横浜市神奈川区鶴屋町1-8-1 アルプス横浜ビル6F,採用担当,045-412-0806(13:00～21:30) ※水・木曜休み,
株式会社あしび,http://ashibi63.com,https://employment.en-japan.com/desc_1039350/?PK=E82C8D&arearoute=1,〒572-0061 /大阪府寝屋川市長栄寺町6-10-202,採用担当,072-828-3951(平日10:00~17:00),
株式会社いせむつ,http://www.isemutsu.co.jp,https://employment.en-japan.com/desc_1039900/?PK=E82C8D&arearoute=1,【本社】/〒462-0854　愛知県名古屋市北区若葉通2-3　第三諏訪ビル3階,採用担当,052-982-7733,
社会医療法人名古屋記念財団 平針記念クリニック,http://www.hospy.or.jp/,https://employment.en-japan.com/desc_1040375/?PK=E82C8D&arearoute=1,■平針記念クリニック/〒468-0021 /愛知県名古屋市天白区天白町大字平針字大根ヶ越199,採用担当,052-800-1300,
プリモ・ジャパン株式会社,https://www.primojapan.co.jp,https://employment.en-japan.com/desc_1042102/?PK=E82C8D&arearoute=1,〒104-0061 /東京都中央区銀座3-15-10 菱進銀座イーストミラービル6F,人財開発部,03-6226-6262　※営業のお電話はお控えください。,
株式会社さくらさくみらい,https://www.sakura-39.jp/,https://employment.en-japan.com/desc_1042247/?PK=E82C8D&arearoute=1,〒100-0006/東京都千代田区有楽町1-2-2　東宝日比谷ビル8階,本部採用担当,03-6457-9539(代表番号),
タメニー株式会社（旧社名：パートナーエージェント）,https://tameny.jp/,https://employment.en-japan.com/desc_1042248/?PK=E82C8D&arearoute=1,＜本社＞/〒141-0032/東京都品川区大崎1-20-3 イマス大崎ビル,採用担当,03-6388-9832,
ひと・コミュニケーションズ株式会社,https://www.hito-com.co.jp/,https://employment.en-japan.com/desc_1039204/?PK=E82C8D&arearoute=1,〒371-0015/群馬県前橋市三河町1-1-1 サン・アネックスビル2F,採用担当,027-226-5711,
株式会社インターレイズ,http://stlassh.com/,https://employment.en-japan.com/desc_1039239/?PK=E82C8D&arearoute=1,【本社】/〒108-0023/東京都港区芝浦2-14-18 サカイビル4階,採用担当,03-6453-6333,
株式会社エイサイ・コミュニケーション,http://www.eisai.org/,https://employment.en-japan.com/desc_1040183/?PK=E82C8D&arearoute=1,本社／〒222-0033　神奈川県横浜市港北区新横浜3-2-6　VORT新横浜 3F,採用担当,045-473-1717,kanagawa@eisai.org
株式会社LITALICO,http://litalico.co.jp/,https://employment.en-japan.com/desc_1013603/?PK=E82C8D&arearoute=1,【東京本社】/〒153-0051　東京都目黒区上目黒2-1-1　中目黒GTタワー15F,採用担当,0120-689-713,
株式会社LITALICO,http://litalico.co.jp/,https://employment.en-japan.com/desc_1013619/?PK=E82C8D&arearoute=1,【東京本社】/〒153-0051　東京都目黒区上目黒2-1-1　中目黒GTタワー15F,採用担当,0120-689-713,
株式会社LITALICO,http://litalico.co.jp/,https://employment.en-japan.com/desc_1013679/?PK=E82C8D&arearoute=1,【東京本社】/〒153-0051　東京都目黒区上目黒2-1-1　中目黒GTタワー15F,採用担当,0120-689-713,
株式会社ハイ・スタンダード,http://www.high-standard.co.jp,https://employment.en-japan.com/desc_1034419/?PK=E82C8D&arearoute=1,【本社】〒108-0023/東京都港区芝浦3-9-1　芝浦ルネサイトタワー11F,採用担当,03-5418-9921,
株式会社オンリーワン,http://happy-hoikuen.jp/,https://employment.en-japan.com/desc_1035912/?PK=E82C8D&arearoute=1,本社／埼玉県さいたま市大宮区下町3-7-1 S-1407,採用担当,048-643-0073,
ヒューマンライフケア株式会社（ヒューマングループ）,https://human-lifecare.jp,https://employment.en-japan.com/desc_1036472/?PK=E82C8D&arearoute=1,〒160-0023	/東京都新宿区西新宿7-5-25　西新宿プライムスクエア1F,採用担当,0120-224-338(受付時間／10：00～20：00　※土日も受付中),hlc_saiyo@athuman.com
有限会社心友,http://www.kyouseinosato.co.jp/,https://employment.en-japan.com/desc_1037739/?PK=E82C8D&arearoute=1,【本社】/〒569-0065/大阪府高槻市城西町7番11-201号,採用担当,072-604-4291,
社会福祉法人東京都手をつなぐ育成会,https://recruit-info.com/ikuseikai/,https://employment.en-japan.com/desc_1039875/?PK=035AB1&arearoute=1,〒160-0023 /東京都新宿区西新宿7-8-10　オークラヤビル2階,採用担当,03-5389-2600,
株式会社クスリのアオキ,http://www.kusuri-aoki.co.jp/,https://employment.en-japan.com/desc_1040015/?PK=035AB1&arearoute=1,〒924-8510/石川県白山市横江町4街区1番,076-274-6113,,
医療法人社団立靖会,http://www.risseikai.net/,https://employment.en-japan.com/desc_1040102/?PK=035AB1&arearoute=1,＜事務局＞/〒101-0054 /東京都千代田区神田錦町2-4 ダヴィンチ小川町7F,採用担当,03-5577-4045,
株式会社三井不動産ホテルマネジメント（三井不動産グループ）,https://corp.gardenhotels.co.jp,https://employment.en-japan.com/desc_1040499/?PK=035AB1&arearoute=1,本社／東京都中央区日本橋本町二丁目2-5　日本橋本町二丁目ビル 2階,採用担当,03-3548-0338,
社会福祉法人恵正福祉会,http://www.keisei-fukushikai.com,https://employment.en-japan.com/desc_1040849/?PK=035AB1&arearoute=1,【とごしの杜保育園】/〒142-0051/東京都品川区平塚2-18-19,採用担当,03-5788-5757,
株式会社スーパーホテル,,https://employment.en-japan.com/desc_1041286/?PK=035AB1&arearoute=1,〒550－0005　大阪府大阪市西区西本町1-7-7　CE西本町ビル5F,支配人募集専用窓口,0120-095-990(平日9：00～18：00),
株式会社風花,https://www.fu-ka2007.com/index.html,https://employment.en-japan.com/desc_1041468/?PK=035AB1&arearoute=1,■本社/〒224-0061/神奈川県横浜市都筑区大丸3-13-104,採用担当,045-479-2212,
株式会社トモズ,http://www.tomods.jp/,https://employment.en-japan.com/desc_1031510/?PK=035AB1&arearoute=1,【トモズ本部】/〒113-0024/東京都文京区西片1丁目15番15号 KDX春日ビル 1F,採用担当,03-5844-0257(人事),
株式会社個学舎,http://ir.ichishin.co.jp/ir/group/group_03.html,https://employment.en-japan.com/desc_1036881/?PK=035AB1&arearoute=1,〒113-0033/東京都文京区本郷5-24-2　グレース・イマスビル2F,採用担当,03-5803-2233,
Fit Care DEPOT（株式会社カメガヤ）,http://www.kamegaya.co.jp,https://employment.en-japan.com/desc_1038569/?PK=035AB1&arearoute=1,本部サポートオフィス／〒222-0033　横浜市港北区新横浜3-9-18　新横浜TECHビルA館8階,人財育成部採用課：上野,045-476-3344,saiyou@kamegaya.co.jp
株式会社ジプロス,http://jiproce.co.jp/,https://employment.en-japan.com/desc_1039285/?PK=035AB1&arearoute=1,本社／東京都江東区亀戸6-57-19　5F,03-6715-9445　(採用担当宛て),,
株式会社ハクブン,,https://employment.en-japan.com/desc_1039439/?PK=035AB1&arearoute=1,本社／〒225-0011　神奈川県横浜市青葉区あざみ野2丁目2－3,採用担当　若山,045-909-1533,
NPO法人はっぴぃ,,https://employment.en-japan.com/desc_1039514/?PK=035AB1&arearoute=1,〒417-0807　静岡県富士市神戸441-1,採用担当,0545-21-4000(月曜日～金曜日／9時～17時まで),info@smilegroup.or.jp
医療法人社団志友会 東京ベイサイドクリニック,https://www.tokyo-bayside-cl.jp/,https://employment.en-japan.com/desc_1040219/?PK=035AB1&arearoute=1,■医療法人社団　志友会事務所・コールセンター：/ 〒261-7121 千葉県千葉市美浜区中瀬2-6-1 WBGマリブイースト21階,採用担当,joboffer@tokyo-bayside-cl.jp,
ハッピーライフ株式会社,http://www.happylife-asahi.com/,https://employment.en-japan.com/desc_1041291/?PK=035AB1&arearoute=1,大阪府大阪市東淀川区下新庄3-8-8,採用担当,06-6180-3291,
株式会社ライトサンズグループ,http://lightsuns-group.com/,https://employment.en-japan.com/desc_1041312/?PK=035AB1&arearoute=1,＜本社＞/〒104-0032/東京都中央区八丁堀3-23-8 ニュー石橋ビル4F A号室,採用担当,03-5540-6722,
株式会社Ability act,https://abilityact.co.jp/,https://employment.en-japan.com/desc_1041439/?PK=035AB1&arearoute=1,【本社】/〒441-8107/愛知県豊橋市南栄町空池23-11,採用担当,0532-29-8900,
株式会社ダイフク（東証一部上場）,http://www.daifuku.co.jp/,https://employment.en-japan.com/desc_1041680/?PK=035AB1&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
